job,wages,welfare,location,req
['Java开发工程师'],['0.8-1万/月'],"['员工旅游', '五险一金', '餐饮补贴', '绩效奖金', '年终奖金']",['合肥-包河区\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布\xa0\xa0|\xa0\xa0英语'],"['1.\xa0良好的计算机专业基础；\xa0', '2.\xa0精通JAVA语言，并能够熟练的使用Eclipes开发；\xa0', '3.\xa0熟悉J2EE体系；\xa0', '4.\xa0熟悉面向对象，有一定的面向对象编程与设计能力，有UML使用经验更佳；\xa0', '5.\xa0熟悉Servlet，Java\xa0Bean，Ejb，Jms，Web\xa0service；\xa0', '6.\xa0熟悉Structs，Hibernate，Spring；\xa0', '7.\xa0对mvc架构比较了解，有\xa0XMl\xa0，JavaScript使用经历；\xa0', '8.\xa0精通Sql\xa0server，Sybase，Oracle，DB2中至少一个大型数据库软件；\xa0', '9.\xa0良好的沟通能力，与一定的组织能力。', '1、计算机或其他相关专业，本科或以上学历；', '2、做事积极主动，对软件开发有浓厚的兴趣，愿意从事软件开发行业；有责任心，有较强的时间观念；', '3、了解使用过一种数据库如MySQL, SQL Server，Oracle，熟练掌握SQL语句；', '4、熟悉Java, JavaScript, 愿意学习，使用新的程序开发语言；', '5、熟练掌握HTML语言，熟悉HTML5。', 'l\xa0 公司拥有经验丰富的研发团队和众多领先行业的优质项目，带领大家快速成长的同时能够在项目建设中得到更多磨炼。', 'l\xa0 同时公司将提供包括奖金提成等有竞争力的薪酬待遇来留住与吸引人才。', 'l\xa0 \xa0公司实行五天工作制，不定期举办员工活动、团队聚餐、旅游等', 'l\xa0 每年按规定享有带薪休假，满1年加1天', '                ', 'l\xa0 加入蓝矩，这里有年轻的工作团队，轻松的工作氛围。']"
['大数据开发工程师(JAVA)'],['1-1.5万/月'],"['五险一金', '定期体检', '年终奖金', '节假日福利', '生日会', '团建活动']",['成都-高新区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['工作职责:', '1、 参与系统需求分析和设计工作', '2、 负责系统的开发、测试工作', '3、 负责功能模块的性能调优、疑难问题解决；', '4、 参与设计文档以及其他技术文档的编写；', '任职资格:', '1、 计算机相关专业，本科及以上学历，有5年以上开发经验，3年以上hadoop开发经验，对分布式计算理论有深刻理解；', '2、 熟练掌握Hadoop技术体系，有Hadoop计算集群在实际项目上的开发和维护经验，有flume,kafka,oozie,spark ,hive,hbase,elasticsearch,kylin等实际应用经验及编程经验；', '3、 精通JAVA、熟练掌握spark原理及数据分析相关的二次开发；', '4、 熟悉linux/UNIX shell、熟悉(Perl/python/shell)任意一种脚本语言；', '5、 熟悉Flink流计算框架或其他开源实时计算框架；', '6、 对数据敏感、对新技术敏感，具有良好的系统分析、架构设计能力；', '7、 有机器学习经验者优先;', '8、个性开朗，对技术钻研好学、逻辑思维能力强，沟通能力优秀，有团队合作精神。']"
['Java高级开发工程师'],['1-1.6万/月'],"['餐饮补贴', '年终奖金', '五险一金', '国企福利佳', '定期体检']",['成都-青羊区\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责:', '1.根据部门产品规划，负责JAVA应用产品开发和维护；', '2.参与产品的需求分析、设计、撰写相关的技术文档；', '3.参与项目周期中的各项工作，协助项目经理推进项目；', '任职要求:', '1.全日制本科及以上学历，计算机相关专业，3年以上JAVA开发经验；', '2.深厚的Java 技术功底，有较强的业务分析能力，设计能力；', '3.可以独立或带领小组完成项目周期中各项工作；', '4.熟悉以下技术：Spring MVC、SSM、MyBatis、redis、oracle、mysql、SqlServer、多线程、Socket、linux、HTTP协议、javascript、ajax、json、jquery、jsp、html5；', '5.熟悉软件常用设计工具，如Powerdesigner、Visio等；', '6.熟练使用eclipse、idea等开发工具；', '7.熟练使用和配置一种或一种以上的主流应用服务器；', '8.有过高并发、分布式、性能调优、大数据系统的开发或设计经验优先；', '9.有互联网科技行业项目开发经验优先。', '成都职工投资集团有限公司（原成都蜀工投资中心），成立于1995年，是成都市总工会下属全资公司，以承接工会普惠服务项目为基础，坚持以让工会会员获得更多、更好、更实在的工会普惠服务为宗旨，以“职工普惠一直在您身边”为主题，依托“职工普惠”构建职工普惠互联网生态系统，为工会会员提供生活、旅游、医疗、商业等服务，推动形成网上网下深度融合的服务模式，积极构建工会会员普惠服务体系。成都职工科技有限公司为成都职工投资集团有限公司的全资子公司，主要负责大数据应用、技术研发、项目承接、系统安全维护工作。']"
['Java后端研发经理(架构师)'],['2-3.5万/月'],"['五险一金', '餐饮补贴', '绩效奖金', '股票期权', '弹性工作', '定期体检']",['北京-石景山区\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责', '1.\xa0理解产品需求，进行后端代码开发，保证代码质量、可靠性和性能达标；', '2.\xa0参与产品后端架构设计、接口/数据库设计与开发；', '3.\xa0参与产品的调试、测试及维护工作，完善后端程序代码；', '4.\xa0制定项目中的关键问题和技术难题，负责项目关键技术难点攻关', '5.\xa0制定系统优化与调整方案，保证开发项目能够按时且高质量交付', '6.\xa0制定项目的开发计划，带领开发团队保质保量的完成工作', '任职要求', '1.开发语言基础扎实，对面向对象的思想有深刻的理解，掌握常用设计模式、io、多线程', '2.熟悉主流开发框架，读过源码(如：spring、springMvc、mybatis、springboot)', '3.\xa0熟悉分布式、高并发、高可用性系统设计开发，具有分布式框架开发经验，如Dubbo，SpringCloud,Thrift', '4.有Redis、MongoDB等NoSQL数据库经验', '5.精通SQL，熟悉主流开发数据库，有较强的SQL编写能力，具备MySQL数据库设计及优化能力', '6.熟悉云原生开发，具有Docker/Kubernetes落地实践经验优先；', '7.具有管理开发团队经验(5人以上)', '8.对系统的整体技术架构负责，并能有效沟通团队成员，有序推进落地', '9.积极主动，认真负责，具有良好的沟通和团队协作能力；']"
['Java中级开发工程师'],['1.8-2万/月'],"['五险一金', '员工旅游', '股票期权', '年终奖金', '出国机会', '专业培训']",['上海-宝山区\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招若干人\xa0\xa0|\xa0\xa001-22发布\xa0\xa0|\xa0\xa0计算机科学与技术 软件工程'],"['岗位职责：', '1、参与本公司银行核心产品开发，完成软件系统代码的实现，编写代码注释和开发文档；辅助进行系统的功能定义,程序设计；\xa0', '2、根据设计文档或需求说明完成代码编写，调试，测试和维护；\xa0', '3、分析并解决软件开发过程中的问题；\xa0', '4、协助测试工程师制定测试计划，定位发现的问题；\xa0', '5、配合项目经理完成相关任务目标。', '任职要求：', '1、计算机、软件或相关专业,5年以上工作经验；', '2、熟悉Java语言、设计模式，精通Spring、hibernate等主流框架、JSON/XML报文处理，并有相关开发经验;', '3、3年以上Java开发经验，并有较强的协调能力、写作能力；', '4、熟练使用Tomcat、Eclipse、Jenkins、Maven、SVN等辅助工具；', '5.\xa0熟悉使用\xa0MySQL、Oracle等至少一种大型关系数据库，熟悉SQL语言', '5、良好的职业素养，学习、理解、沟通能力和团队合作精神；', '6、能够适应高强度工作，可接受出差。']"
['Java开发工程师'],['2.5-3万/月'],"['五险一金', '定期体检', '补充医疗保险', '包住', '交通补贴']",['上海\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招10人\xa0\xa0|\xa0\xa001-22发布\xa0\xa0|\xa0\xa0计算机科学与技术'],"['岗位描述：', '1.负责Web软件产品的前后端开发;\xa0', '2.按照UI设计、产品或需求,制定合理的技术架构和方案,编制相关文档;\xa0', '3.设计系统间的集成方案并开发实现;\xa0', '4.负责构建、修改、优化公司产品相关的web组件\xa0;\xa0', '5.公司安排的其他相关技术工作;', '岗位要求:', '1、精通JAVA、Spring、SpringMVC、SpringBoot、MyBatis、activity，精通springcloud框架及其组件进行开发，并有4年左右实际微服务项目经验。', '2、掌握FreeMarker模板引擎；', '3、\xa0熟悉KendUI、H5、JavaScript、CSS等前端基础知识；', '4、\xa0熟悉Mysql；对Linux等操作系统命令较为熟悉;', '5、5-8年统招二类一批本科及以上学历，学信网可查;', '6、全国重难点项目的核心人员，旨在高难度问题解决和紧急救场工作，需具备一定抗压能力和责任感，具备兜底意识。']"
['Java开发工程师'],['1.5-2万/月'],"['五险一金', '绩效奖金', '年终奖金', '员工旅游', '通讯补贴', '定期体检', '弹性工作']",['上海-嘉定区\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布\xa0\xa0|\xa0\xa0普通话良好\xa0\xa0|\xa0\xa0计算机科学与技术'],"['1. 参与项目的需求分析； ', '2. 进行系统功能设计和数据库设计等； ', '3. 使用Spring, MYBatis等开源框架进行轻量级JavaEE开发； ', '4. Easyui，bootstrap等常用前端框架； ', '5. 制定项目开发计划，分配人员进行开发； ', '6. 管理开发人员进行开发，监控开发进度。 ', '岗位要求：', '1. 全日制重点大学，计算机、通信等相关专业，本科以上学历； ', '2.3年及以上基于J2EE大型项目的开发经验； ', '3. 熟悉Spring, Hibernate, Struts等开源框架，熟悉WebSphere/WebLogic/JBoss/Tomcat等主流应用服务器； ', '4 精通HTML、XML、JavaScript、Java等语言，具有基于J2EE体系结构的模块设计和代码开发经验； ', '5 熟悉ORACLE等主流数据库，精通SQL； ', '6 具有良好的文档撰写能力，熟悉各种建模工具； ', '7 具备良好的表达和沟通能力并具有较强的分析问题、解决问题的能力；', '8 具备极强的团队合作精神，对工作有热情，能够在一定压力下工作。', '代：上海润之信息科技有限公司招聘此职位']"
['Java开发工程师'],['0.9-1.5万/月'],"['五险一金', '年终奖金', '弹性工作', '定期体检', '员工旅游', '餐饮补贴', '专业培训']",['西安-高新技术产业开发区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['职责描述：\xa0', '1.\xa0参与平台软件的系统分析、技术选型、方案讨论、重构、优化；\xa0', '2.\xa0参与系统开发过程的技术评审及代码走读工作，确保系统设计满足项目需求，代码开发符合设计要求；\xa0', '3.\xa0核心代码的编码和维护。', '任职要求：\xa0', '1.\xa0本科以上学历，通信计算机等相关专业，两年以上Java开发经验；\xa0', '2.\xa0独立完成系统设计，有系统以及数据库设计经验，能快速分析并解决复杂的线上问题；\xa0', '3.\xa0Java基础扎实，精通多线程、并发、集合、网络、IO等基础知识，熟悉JVM；\xa0', '4.\xa0熟练掌握Springboot，Mybatis，PostgreSQL，Redis，MongoDB，restful\xa0API的相关技术；\xa0', '5.\xa0具有较强的团队意识，高度的责任感，对工作积极严谨，勇于承担压力。']"
['java架构师'],['2-3万/月'],[],['南京-浦口区\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['1、负责公司项目或产品技术需求的收集、整理和分析；', '2、确定公司项目或产品的架构设计和技术路线；', '3、参与技术方案讨论，根据技术方案设计流程、接口及数据库表；', '4、对技术人员进行技术培训，指导技术人员在整体架构下开展详细设计开发工作；', '5、制定技术文档和开发规范，并对开发过程进行持续改进；', '6、指导初级工程师，组织团队技术分享，促进团队成员共同进步。', '7、能够根据系统支持的业务情况，提出满足业务发展需要所需的各方面资源，或者提前预警当前的问题与瓶颈所在。', '任职要求：', '1、本科以上学历，信息技术、计算机等相关专业优先考虑；', '2、5年以上工作经验，至少熟练使用Java、Scala、Python、C++、C#中的任意三种以上计算机语言；', '3、精通Sring MVC、Spring Cloud、Spring Boot、MyBaits、Hibernate、Spark、Kafka、Solr等主流框架；', '4、具有丰富的大数据技术应用开发和架构设计经验；', '5具有出色的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；', '6、具有高可靠、高并发、高性能的系统架构经验；', '7、具有良好的团队合作能力，较强的责任心和抗压能力；', '8、具有国家电网项目架构经验优先考虑。']"
['Java中级开发工程师'],['1-1.5万/月'],"['五险一金', '绩效奖金', '餐饮补贴', '通讯补贴', '做五休二', '周末双休', '定期体检']",['上海-浦东新区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0', '\xa0\xa0']"
['JAVA软件工程师 (职位编号：96)'],['0.5-1万/月'],"['五险一金', '员工旅游', '餐饮补贴', '年终奖金', '弹性工作', '绩效奖金']",['张家港\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['岗位要求', '1、熟悉HTML/CSS/JavaScript，会使用Ajax和常用JavaScript框架；', '2、熟悉J2EE架构和开发模式，熟悉MVC设计模式 ；', '3、了解java编程技术（jsp,struts2,spring，Hibernate）；', '4、精通SQL-Server数据库。', '5、有1年以上相关工作经验。']"
['招行Java开发工程师（全日制本科）'],['1-1.5万/月'],['五险一金'],['深圳-南山区\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招30人\xa0\xa0|\xa0\xa001-22发布'],"['A、全日制本科及以上学历，计算机相关专业；', 'B、熟悉JAVA、SQL等编程语言，熟悉eclipse开发工具，熟悉Oracle、MySQL等数据库;', 'C、了解Spring等开发框架，了解JBoss、tomcat等中间件，了解Linux\xa0redhat等操作系统；', 'D、了解JavaScript/Bootstrap/Angular/React/Vuedejs等前端技术;', 'E、具有良好的逻辑思维及沟通能力，具备良好的学习能力及团队合作精神;', 'F、工作态度端正，有责任心，能够承受一定工作压力；']"
['对日软件开发工程师（java/C）'],['0.7-1.5万/月'],"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '出国机会', '年终奖金', '绩效奖金', '定期体检']",['无锡\xa0\xa0|\xa0\xa0招5人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责：', '  1、 从事对日软件项目开发工作； ', '  2、 参与对日项目软件工作环节； ', '  3、按时完成软件开发进度。', '  任职要求：', '  1、大专学历以上，理工科相关专业；', '  2、具备java/C开发2年以上工作经验；', '    ', '3、热爱编程；', '  4、能够读懂式样书，并能够熟练地在日文开发环境中进行开发和测试工作，日语三级相当']"
['Java高级开发工程师（提供住宿）'],['1.7-2万/月'],"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '周末双休']",['上海-松江区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招若干人\xa0\xa0|\xa0\xa001-22发布'],"['1、参与系统新需求的调研和分析，撰写相关技术文档；', '2、按照编码要求完成相应的模块开发工作，并保证工作的质量；', '3、完成自己实现模块的功能测试，参与系统整体测试；', '4、编写相关的实施文档、使用手册、测试文档、验收文档。', '技能要求：', '1、计算机、软件工程及相关专业，本科及以上统招学历；', '2、3年及以上Java开发经验，并具有扎实编码和调试能力;', '3、具备良好的需求理解能力，较强的理解沟通能力和责任感并具有团队合作精神。']"
['Java开发工程师'],['1.3-2.5万/月'],"['五险一金', '补充医疗保险', '员工旅游', '餐饮补贴', '年终奖金', '定期体检', '绩效奖金']",['广州\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招5人\xa0\xa0|\xa0\xa001-22发布'],"['1、完成具体开发任务；', '2、完成指定项目模块的设计工作；', '3、软件系统及模块的编码及测试；', '4、编制与项目相关的技术文档。', '1、全日制统招本科及以上学历，计算机相关专业；', '2、熟悉Java、J2EE体系结构、设计模式，具有3年以上在J2EE标准下从事B/S项目开发的具体经验；', '3、熟悉MSSQLServer、Oracle关系型数据库，能够熟练使用SQL语言，能够根据需求进行数据库建模，有脚本优化经验；', '4、熟悉SpringMVC、Hibernate、spring boot、spring cloud、jQuery，了解AngularJS、SOLR、Lucene、Huddo、Zookeeper等相关技术；', '5、拥有GIS项目开发经验、WebServices服务接口开发或设计经验尤佳，拥有带团队经验尤佳；', '6、具有良好的沟通能力和良好的团队合作意识，有较强的文档编写能力。', '7、', '【上班时间】上班时间：09：00-18：00（7.5H，周末双休），午休时间：12：00－13：30（视岗位）；', '【五险一金】购买六险（养老、失业、医疗、工伤、生育、重大疾病+住房公积金）及商业险（视岗位）；', '【午餐补贴】为了提高精一人的生活质量，公司将每个工作日给予员工膳食补贴；', '【贺礼贺金】公司将给正式员工发放生日贺金、生育贺金、结婚贺金、“三八”节礼品、端午礼品、六一节礼品、中秋节贺金等；', '【职称补贴】公司倡导积极向上、勤奋好学的进取精神，特给各类报考职称成功的员工提供相应补贴；', '【工龄工资】您只要入职满一年，就可享有我们精一的工龄工资；', '【电话补贴】根据岗位需要，公司特给予话费补助；', '【全勤奖金】只要您不迟到和早退，即可拿到全勤奖励；', '【年终奖金】公司将根据年度运营情况发放年终奖；', '【丰富假期】国家法定节假日、带薪年假、婚假、产假、陪产假、带薪病假等；', '【文娱活动】公司将不定期为员工举办旅游活动、部门聚餐、员工拓展等；', '【年终总结】为了感谢大家在一年里的辛勤工作，特精心准备表彰大会及晚宴，让您一同享受精一的收获；', '【职业发展】只论能力不论年资，提供良好的成长路径，不辜负每个有能力的人；', '【培训分享】一对一导师培训，定期组织新员工入职培训，不定期组织部门内部及跨部门分享会；', '【生活福利】免费零食、丰盛下午茶、自动贩卖机、微波炉、大冰箱等；', '【工作环境】我们为你提供舒适的工作环境，互助友爱的人文环境，与您共同成长。']"
['高级Java开发工程师'],['2-3万/月'],"['员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检', '弹性工作', '五险一金']",['深圳\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['1.\xa0负责公司产品的软件后台设计、开发和维护工作，高效、高质量的完成产品开发工作；\xa0', '2.\xa0参与系统架构、模块设计和文档编写；\xa0', '3.\xa0维护现有的应用和产品；', '4.\xa0完成上级安排的其他工作。\xa0', '5.带领初中级开发工程师完成研发工作', '任职要求：\xa0', '1.\xa0全日制本科以上学历，计算机、软件工程等专业或相关专业，5-10年以上Java开发经验；\xa0', '2.\xa0熟悉多线程编程；\xa0掌握主流JAVA\xa0EE开源框架，如springcloud,springBoot,MyBatis等；\xa0', '3.\xa0Java基础扎实，理解io、多线程、集合等，对JVM原理有一定的了解；熟悉面向对象设计开发；熟悉基础的数据结构，对基础的算法有一定的了解', '\xa04.\xa0熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、搜索推荐等机制；\xa0', '5.\xa0熟悉MySQL\xa0SQL\xa0SERVER等数据库性能优化相关知识者优先\xa0', '6.\xa0熟悉WEB\xa0SERVICEREST以及分布式系统SOA微服务架构者优先考虑。7、有管理经验者优先.', '8、有医疗项目开发经验者优先']"
['Java开发工程师'],['0.8-1万/月'],"['五险一金', '绩效奖金', '餐饮补贴']",['无锡\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['2、保证所开发软件符合用户要求，具有良好的可靠性和可维护性；', '3、对已开发完成软件进行校正性维护、适用性维护、完善性维护和预防性维护，以保证软件能够正确、高效地运行，符合用户需求和环境的变化。', '1、大专以上学历，25-35周岁，信息与计算机科学等相关专业，两年以上java编程经验；', '2、熟练掌握SSM框架，熟悉Java多线程、socket通信；', '3、熟悉关系数据库原理，熟悉Oracle、Mysql数据库之一种；', '4、熟悉Tomcat等服务器产品，熟悉安装、调优、发布配置应用；', '5、熟练JQuery、Bootstrap和JavaScript技术，并可以熟练的根据设计文档进行各种前台页面布局与交互代码编写；', '6、具备良好的团队意识及创新思维、自我激励能力，工作积极，善于与人合作；', '7、具有良好的表达与沟通能力以及独立思考并解决问题的能力。']"
['Java开发人才储备'],['4.5-6千/月'],[],['大连\xa0\xa0|\xa0\xa0无需经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['职要求:', '1、\xa0专业不限，经验不限，最低学历为大专；', '2、\xa0了解基本Java编程语言和思想，有编程基础优先；', '3、\xa0了解\xa0SqlServer、MYSQL、ORACLE其中一种数据库开发；', '4、\xa0能吃苦耐劳，有良好的团队合作精神。', '5、\xa0可接收转行人士，欢迎优秀的应往届毕业生；', '6、有IT基础与开发背景优先，简单了解基本的JAVA/安卓/C/C++/IOS/PHP/软件测试/.net/WEB/C#/oracle/JSP/ASP/游戏开发等任意编程语言皆可。', '\xa0', '岗位职责：', '1、在上级的领导和监督下定期完成量化的工作要求；', '2、能独立处理和解决所负责的任务；', '3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；', '4、能够快速融入团队，积极、有效地开展工作。', ' ', ' 上班地址：辽宁省大连 ']"
['java开发软件工程师'],['4-8千/月'],"['交通补贴', '年终奖金', '餐饮补贴', '通讯补贴', '定期体检', '绩效奖金', '社保', '法定节假日']",['珠海\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招3人\xa0\xa0|\xa0\xa001-22发布'],"['\xa0 职责范围：', '1、负责公司软件产品的设计及研发；', '2、负责行业信息化项目的开发及实施；', '任职要求：', '1、大专以上学历，计算机或相关专业优先；', '2、一年以上软件开发经验，有物联网、大数据项目开发经验、全栈开发能力者优先；', '3、熟练掌握java语言开发，熟悉Struts、Hibernate、Spring等主流技术；', '4、熟悉html5、jquery、Bootstrap等前端开发技术；', '5、熟悉Mysql、Oracle等数据库；', '6、诚实，执行力强，具有分析和解决问题的能力，重视团队协作，善于沟通、有责任心；', '\xa0\xa0']"
['Java开发工程师'],['0.8-1.2万/月'],"['五险一金', '带薪年假', '节日福利', '交通补贴', '餐饮补贴', '加班补贴', '通讯补贴', '年终奖', '补充医疗保险']",['衡阳\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['职责描述：', '1.负责Android手机软件的开发及设计；', '2.根据产品的需求进行Android产品的分析；', '3.对Android平台开发技术进行研究，发现其缺陷并改正更新；', '4.对Android的整体架构有较为深入的了解;', '5.\xa0熟悉Android\xa0UI控件编程，熟悉JNI/NDK,有过第三方库平台移植.', '6.熟悉java开发；', '任职要求：', '1.大专及以上学历，计算机相关专业；', '2.JAVA基础扎实，熟悉IO、多线程、集合等基础框架；', '3.熟悉struts、Spring、Hibernate、MyBatis应用框架；', '4.熟悉HTML、面向对象JavaScript技术，以及框架jQuery/EXT技术；', '5.熟练掌握至少一种数据库Oracle、MySQL,有数据库优化经历者优先.', '一经录用，待遇从优：', '1、购买五险一金、补充医疗保险，带薪年假、婚假、生育假等，带薪培训，各类贺礼慰问金和节日活动及福利，日常水果牛奶福利、餐补、生日会、年终奖等，年度优秀员工还有专享优待，带薪旅行假（可报销车费）等。', '2、试用期3个月，综合收入6000-7000元/月，转正后8000-12000元/月（根据实际能力和学历确定），能力特别优秀者，薪资可面议。']"
['Java高级开发工程师'],['1.5-2.5万/月'],"['五险一金', '通讯补贴', '绩效奖金', '交通补贴', '年终奖金', '定期体检', '股票期权']",['广州-天河区\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招4人\xa0\xa0|\xa0\xa001-22发布'],"['工作职责：', '1.能够独立设计与组织沟通；', '2.能够针对复杂产品模块的逻辑设计与实现；', '3.解决产品中技术难题；', '4.维护与优化原有项目产品；', '岗位要求：', '1.本科及以上学历，3年以上使用java及WEB应用软件开发经验，熟悉基本的数据结构，计算机原理，设计模式等编程基础，具有良好的面向对象设计思想，以及一定的架构设计能力。', '2.熟悉SpingMVC、SpringBoot、Mybatis等常用开发框架和技术的设计思想和实现方式；', '3.熟悉主流分布式相关处理技术，熟悉Spring Cloud、Zookeeper、Kafka、Redis、Nginx等；\xa0', '4.熟悉mysql等一种以上数据库，了解数据库基本原理和优化策略，有大数据SQL优化经验者优先；', '5.熟悉Linux环境以及简单操作，git/gitlab的使用，对devops有了解者优先；', '6.熟悉常用的中间件如redis、MQ、ELK、Spart等相关产品者优先；', '7.较强的自学能力、优秀的逻辑思维能力和良好的沟通表达能力和敬业精神；', '8.具备良好的系统分析能力，良好的抽象思维和逻辑思维能力，独立分析问题解决问题的能力；\xa0', '9.可承受较大压力，有责任感，较强的沟通协调能力，具有团队合作精神。\xa0\xa0']"
['Java开发工程师'],['0.4-1万/月'],"['周末双休', '带薪年假', '五险', '全勤奖', '绩效奖金', '体检', '员工旅游']",['成都-成华区\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['1、负责核心业务与架构相关的项目设计和研发；\xa0', '2、持续优化代码、缓存、数据库结构和实现方法，满足大读取量和大更新量的要求;\xa0', '3、进行详细设计、代码开发，配合测试，高质量完成项目\xa0', '4、深入理解分析业务需求，为软件开发和运行提供架构设计、模型设计，负责架构业务合理性、可扩展性和快速迭代\xa0', '5、参与技术难题攻关、解决系统中的关键问题和技术难题，组织技术积累等工作', '能力及素质要求', '1、计算机相关专业，大专及以上学历，2年及以上java开发经验\xa0', '2、java基础扎实，精通大数据、高并发变成，熟练掌握Spring、Struts、MyBatis等主流框架，具有相关开发经验\xa0', '3、熟悉mysql，sqlserver，oracle等主流数据库\xa0', '4、良好的面向对象的程序设计思想，掌握常见的设计模式及应用场景\xa0', '5、熟练应用Web前端技术，例如HTML、JS、Jquery、CSS等，思维灵活，热爱技术，对Web设计、编程开发有丰富的经验\xa0', '6、具备良好的语言表达及沟通能力和较好的抗压能力，具备良好的文档能力，对Web应用相关技术有高度的敏感性，对新技术和概念具备良好的学习和应用能力']"
['Java中高级开发工程师'],['1-1.8万/月'],"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检', '股票期权']",['广州\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责：', '1、参与部门产品的开发、优化等工作；', '2、负责产品开发进度和质量，提升团队开发效率；', '3、规划前沿技术和创新，提高团队技术水平。', '任职资格：', '1、熟悉或精通主流技术和框架（包括springMVC/springboot/springcloud/netty/nginx或openrestry等）；', '2、熟悉MySQL/Oracle,\xa0Redis,\xa0Mongodb等数据库,具备数据库分布式集群设计经验，熟悉常用优化方法；', '3、熟悉分布式系统设计，熟悉缓存、消息、多线程的设计与编码；', '4、在可扩展、高性能、高并发、高稳定性系统设计、开发和调优方面有实际经验；', '5、精通UML建模，熟练使用相关建模工具，并具有规范的开发、设计文档写作能力；', '6、精通一种以上消息队列中间件(RocketMQ、ActiveMQ、kafka)；', '7、精通Java/J2EE，熟悉面向对象设计方法和常用设计模式；']"
