job,wages,welfare,location,req
['Java开发工程师'],['6-8千/月'],"['补充医疗保险', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '专业培训', '通讯补贴']",['汕头\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招5人\xa0\xa0|\xa0\xa001-22发布'],"['岗位要求：', '1、掌握C#、.net或Java开发语言，进行开发工作；', '2、有项目开发经验的优先；', '3、获得软件设计证书的优先。']"
['Java开发工程师'],['0.8-1.2万/月'],"['绩效奖金', '专业培训', '弹性工作', '员工旅游', '周末双休']",['广州-越秀区\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责：', '1、参与需求分析及评审，日常开发沟通', '2、负责功能详细设计，接口详细定义，编码实现', '3、功能自测，保证代码质量', '4、遵照开发规范，代码持续优化', '5、配合协助线上问题排查及解决', '技能要求：', '1.2年以上同岗位经验Java基础扎实，熟悉对象/内存模型，了解JVM垃圾回收机制；', '2.熟悉Linux环境部署，了解常用SHELL命令；', '3.熟练使用MySQL，对MySQL索引机制、锁机制、存储机制有理解，能编写高效SQL并具备调优能力，对数据库并发处理有实践经验；', '4.熟练使用Spring/SpringMVC/Mybatis/Spring\xa0Boot等基础框架；', '5.使用过Dubbo/Spring\xa0Cloud等其中一款RPC框架，并理解其背后实现原理；', '6.具备缓存、消息队列使用经验，对使用过的相应中间件工作机制及原理有深刻理解；', '7.熟悉主流NoSQL，对Nginx，Solr或ElasticSearch有使用经验优佳；', '8.具备上进精神，能直觉有针对性拓展自身技术知识面及技能提升。']"
['Java开发工程师'],['0.4-1万/月'],"['员工旅游', '带薪年假', '节日福利', '五险', '股票期权', '交通补贴', '餐饮补贴', '绩效奖金', '定期体检']",['杭州-余杭区\xa0\xa0|\xa0\xa01年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招5人\xa0\xa0|\xa0\xa001-22发布'],"['工作内容：', '1. 负责公司互联网、物联网项目系统后台的设计开发', '2. 参与项目需求评审，安排开发计划，编写开发文档', '任职要求：', '1. 能接受外派', '2. 具有一定的项目经验，有独立开发项目经历优先', '3. Java基础扎实，熟悉主流开源框架（SpringBoot、MyBatis等）', '4. 熟悉和使用过MySql、redis等主流数据库', '5. 熟悉项目开发的各个流程，如版本管理git、svn，持续集成等', '6. 熟练掌握常用的Linux命令、Shell脚本']"
['JAVA技术经理'],['1.8-2万/月'],"['五险一金', '免费班车', '通讯补贴', '餐饮补贴', '交通补贴', '绩效奖金', '年终奖金', '专业培训']",['南京-雨花台区\xa0\xa0|\xa0\xa0无需经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['岗位职责：', '1、能在短时间内加入到实际项目中参与开发、设计；', '2、承担系统核心模块的设计、研发，', '3、撰写相关技术文档；', '4、具有良好的沟通能力，能与客户进行需求方面的交流；', '5、合理安排软件工程师的工作，并对其做技术指导；', '6、带领技术团队对项目和产品的实施落地；', '任职要求：', '1.\xa0本科及以上学历，计算机相关专业；', '2.\xa0四年及以上相关开发经验，精通数据结构、操作系统、计算机网络等相关知识；', '3.\xa0熟练掌握Java编程语言，熟悉任务管理和内存管理机制，熟悉HTTP、TCP/IP等网络协议；', '4.\xa0精通Spring\xa0MVC，Spring\xa0boot，MyBatis/Hibernate/JPA等框架或开发包；', '5.\xa0熟练掌握SQL或NoSQL数据库，有丰富的数据库设计和开发经验；', '6.\xa0熟悉Linux系统，熟悉常用应用服务器的部署和使用；', '7.\xa0有分布式架构部署，高并发、高性能架构设计经验者优先；', '8.\xa0具有良好的沟通协调能力和处理问题的能力，有较强的学习能力；', '9.\xa0能适应短期出差']"
['java开发'],['1.5-2万/月'],[],['杭州-西湖区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招若干人\xa0\xa0|\xa0\xa001-22发布'],[]
['Java讲师 (职位编号：001)'],['1.2-1.5万/月'],"['五险一金', '员工旅游', '餐饮补贴', '年终奖金', '绩效奖金', '专业培训', '地铁口近']",['南京-江宁区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招1人\xa0\xa0|\xa0\xa001-22发布'],"['~~~年前面试，年后入职~~~~', '岗位职责：', '1、负责日常教学，按照教学规范和教学大纲，高质量完成java课程或更高级课程的授课任务；', '2、能熟练掌握框架：Spring、SpringMVC、Mybatis\xa0中的一种或者几种，熟练掌握SSH、SSM等基础框架整合;', '3、配合完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发和升级；', '任职要求：', '1.年龄25-33岁，大专及以上学历；', '2.有三年以上Java项目开发经验。', '技术要求：', '数据库：Oracle、MySql', '常见框架：SSM、Spring、SpringMVC、Mybatis', '薪资：', '底薪+绩效+课时费+餐补+带班奖金+年终奖', '综合薪资12K-15K/月', '晋升空间：', '纵向：（初中高级）java讲师－课程组组长－学术主管（/经理）－学术总监（/副校长）－分校校长', '横向：可选择不同岗位的轮岗，学习更多的职业技能，发展不受限', '多元化：三大教育培训行业（成人IT职业教育、青少年科技启蒙、少儿外语兴趣辅导）多行业选择助你事业有成', '加入我们，你将获得：', '1、舒适、整洁的工作环境，轻松、愉快的工作气氛；', '2、具有竞争力的薪酬（晋升）制度；', '3、业内领先的提成和奖金制度；', '4、丰富、全面的培训体系（岗前培训：帮助新员工尽快融入团队，清晰岗位职责，明确工作目标；在职培训：提高员工工作能力的同时，提升其职业素养、培养其职场思维；管理类培训：提升中层管理者综合能力，帮助其成为一位出色的管理型人才）；', '5、规范而多样化的晋升机制（纵向晋升：注意培养管理能力；横向轮岗：职业发展与兴趣相结合；多元化运营：了解更多行业的运营特点，提供更多的晋升机会）；', '6、\xa0人性化的福利，包括但不限于：带薪年假、工龄工资、节日慰问、年终绩效奖金、年度旅游等福利；']"
['Java高级开发工程师'],['1.5-3万/月'],[],['南京-雨花台区\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0大专\xa0\xa0|\xa0\xa0招若干人\xa0\xa0|\xa0\xa001-22发布'],"['1、负责公司电商产品各个功能模块、相关产品子系统核心的设计和研发工作；', '2、协助模块负责人完成相关文档的编写；', '3、解决在测试过程中发现的BUG；', '4、确保自己负责功能模块的完备和稳定；', '任职要求：', '1、  大专及以上学历，5年以上java开发经验；', '2、  精通java基础，了解java8的特性，了解Intellij IDEA开发环境；', '3、  熟悉SSH框架，精通SpringMVC架构，有Spring cloud微服务实操经验，了解Spring-Boot架构；', '4、  熟练使用Hibernate、MyBatis、Spring Data Jpa作为数据持久层；', '5、  熟练使用Redis 、Memcache , EhCache 等缓存方面技术；', '6、  熟练使用 html 、 div+css 、jquery 、 ajax 等前端知识；', '7、  熟悉Tomcat等服务器软件，熟悉MySQL数据库；', '8、对于react-native开发，android/IOS 有一定的了解；', '9、有互联网电商行业开发经验者、有APP开发经验者优先，有大数据规模和高访问系统经验者优先。']"
['Java开发工程师'],['0.8-1.3万/月'],[],['杭州-江干区\xa0\xa0|\xa0\xa02年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招若干人\xa0\xa0|\xa0\xa001-22发布'],"['工作职责范围：', '1. 负责公司邻家小达产品后端研发，致力于建设整合工具、社交、生活为一体的新一代平台；', '2. 负责高质量的设计和编码，承担重点、难点的技术攻坚；', '3. 负责编码，单元测试和集成测试；', '4. 参与产品讨论和开发实现。', '任职要求、条件：', '1.本科及以上学历，计算机，通讯等相关专业；', '2.熟练掌握Spring等主流的开发框架，理解框架的实现原理及特性；', '3.具备良好的编码习惯、结构清晰、命名规范、逻辑性强，代码冗余率低；', '4.积极主动，自驱力强，深入了解业务并与业务中各角色建立沟通，能独立负责一块业务，迅速推进项目与问题的解决；', '5.有一个或多个项目管理工具使用经验 如:jira/禅道/Teambition/tpad。', '如果您具备以下能力，我们会优先考虑：', '1.有带领3人以上团队经验；', '2.有ToC百万级用户业务工作经历；']"
['Java高级开发工程师'],['1.6-2.8万/月'],"['五险一金', '下午茶零食', '弹性工作']",['上海-浦东新区\xa0\xa0|\xa0\xa05-7年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招若干人\xa0\xa0|\xa0\xa001-22发布'],"['1、理解项目业务需求，并通过编码实现业务逻辑；', '2、按期按质交付开发主管安排的编码任务；', '3、对已经完成的产品及项目进行编码维护；', '4、现场沟通需求，安排指导团队开发。', '1、适合客户现场办公(公司产品开发维护，非外包)', '2、三年以上Java工作经验,计算机相关专业，本科及以上学历（优秀者可放宽至大专学历）；', '3、需具备线上贷、消费贷、借呗、蚂蚁等相关经验；', '4、熟练掌握JAVA编程语言，多线程编程技术，熟悉JVM基础原理；熟练使用Spring、Hibernate、IBatis、Dubbo、Kafka、Redis、Memcached等主流技术框架；', '5、熟练关系型数据库如Oracle、Mysql, 熟悉sql优化者优先；', '6、了解相关的前端开发技术，如Html5、juqery、javascript、CSS3、bootstrap等；', '7、具备较强的自学能力，团队精神及抗压能力，拥有良好的沟通表达能力和服务意识和快速处理系统突发事件的能力。Zachary:']"
['Java开发工程师'],['2-2.5万/月'],"['五险一金', '定期体检']",['上海-徐汇区\xa0\xa0|\xa0\xa03-4年经验\xa0\xa0|\xa0\xa0本科\xa0\xa0|\xa0\xa0招2人\xa0\xa0|\xa0\xa001-22发布'],"['1、 负责后台功能模块的开发，编写程序代码；', '2、 完成项目的测试、系统交付工作；', '3、 参与网站的系统分析与架构设计、数据库结构设计。', '职位要求：', '1、3年以上Java开发经验', '2、熟练使用Java后端开发，Java基础扎实，熟练掌握数据结构、java动态代理、反射、多线程等相关技术，掌握常用的设计模式；', '3、对SpringCloud、Springboot、Springmvc、Mybatis等框架有深入的应用和优化经验；', '4、熟练使用SQL语言，具有数据库优化、查询优化、高性能高可用技术的经验；', '5、熟悉Redis、MongoDB等NoSQL技术，有大规模系统设计和开发经验者优先；', '6、熟悉常用的RabbitMQ、kafka等消息中间件技术；', '7、了解Linux系统(CentOS)，有Linux系统维护经验者优先；']"
